X,OBSERVATION,PARTICIPANT,PRETEST,PRE_FAMILIAR,AGE,GENDER,NATIONALITY,ENGLISH,POSTTEST,GENERATION,RECALL,CHAIN,CONDITION,CONDITION.2,ORDER,SOURCE,VIEW,PRESTIGE,RELEVANCE,T_RECALL,T_SOURCE
1,1,1,-2,1,47,female,1,1,-2,F1,4,CH1,C1,A,FIRST,CLEANER,PROTABLETS,3,3,185.36,49.78
2,2,1,-2,1,47,female,1,1,-2,F1,5,CH1,C1,A,SECOND,EDUCATOR,ANTITABLETS,4,3,200.689,31.139
1,3,2,-1,3,59,male,1,1,-1,F2,3,CH1,C1,A,FIRST,CLEANER,PROTABLETS,2,-1,300.108,81.496
2,4,2,-1,3,59,male,1,1,-1,F2,4,CH1,C1,A,SECOND,EDUCATOR,ANTITABLETS,3,3,300.01,56.995
1,5,3,-2,3,22,male,1,1,-1,F3,1,CH1,C1,A,FIRST,CLEANER,PROTABLETS,2,-1,100.889,19.61
2,6,3,-2,3,22,male,1,1,-1,F3,3,CH1,C1,A,SECOND,EDUCATOR,ANTITABLETS,3,2,46.682,26.031
1,7,4,2,3,30,female,1,1,2,F4,1,CH1,C1,A,FIRST,CLEANER,PROTABLETS,3,0,68.385,16.209
2,8,4,2,3,30,female,1,1,2,F4,3,CH1,C1,A,SECOND,EDUCATOR,ANTITABLETS,4,3,63.211,12.597
1,9,5,0,2,21,female,1,1,-1,F1,6,CH2,C1,A,FIRST,CLEANER,PROTABLETS,3,1,92.01,34.56
2,10,5,0,2,21,female,1,1,-1,F1,6,CH2,C1,A,SECOND,EDUCATOR,ANTITABLETS,3,1,91.147,37.27
1,11,6,-1,3,44,female,1,1,-1,F2,3,CH2,C1,A,FIRST,CLEANER,PROTABLETS,3,1,136.879,35.775
2,12,6,-1,3,44,female,1,1,-1,F2,4,CH2,C1,A,SECOND,EDUCATOR,ANTITABLETS,4,2,103.4,20.936
1,13,7,-2,3,54,female,1,1,-2,F3,3,CH2,C1,A,FIRST,CLEANER,PROTABLETS,2,0,80.795,31.091
2,14,7,-2,3,54,female,1,1,-2,F3,3,CH2,C1,A,SECOND,EDUCATOR,ANTITABLETS,3,2,123.604,33.606
1,15,8,-1,2,25,female,1,1,-1,F4,3,CH2,C1,A,FIRST,CLEANER,PROTABLETS,2,1,120.282,34.133
2,16,8,-1,2,25,female,1,1,-1,F4,2,CH2,C1,A,SECOND,EDUCATOR,ANTITABLETS,4,3,116.91,36.947
1,17,9,-1,2,37,female,1,1,-2,F1,3,CH3,C1,A,FIRST,CLEANER,PROTABLETS,1,-2,125.629,54.103
2,18,9,-1,2,37,female,1,1,-2,F1,4,CH3,C1,A,SECOND,EDUCATOR,ANTITABLETS,1,-2,143.923,17.412
1,19,10,-3,3,49,female,1,1,-3,F2,2,CH3,C1,A,FIRST,CLEANER,PROTABLETS,1,0,96.003,31.086
2,20,10,-3,3,49,female,1,1,-3,F2,3,CH3,C1,A,SECOND,EDUCATOR,ANTITABLETS,3,0,130.697,29.692
1,21,11,0,3,37,female,1,1,-2,F3,2,CH3,C1,A,FIRST,CLEANER,PROTABLETS,1,0,145.934,60.077
2,22,11,0,3,37,female,1,1,-2,F3,3,CH3,C1,A,SECOND,EDUCATOR,ANTITABLETS,2,0,98.003,49.115
1,23,12,-2,1,33,female,1,1,-1,F4,1,CH3,C1,A,FIRST,CLEANER,PROTABLETS,1,-1,41.29,24.835
2,24,12,-2,1,33,female,1,1,-1,F4,2,CH3,C1,A,SECOND,EDUCATOR,ANTITABLETS,2,-1,24.6,12.242
1,25,13,1,2,24,male,1,1,2,F1,3,CH4,C1,A,FIRST,CLEANER,PROTABLETS,1,1,183.181,111.502
2,26,13,1,2,24,male,1,1,2,F1,3,CH4,C1,A,SECOND,EDUCATOR,ANTITABLETS,2,1,141.975,126.237
1,27,14,-2,2,30,female,1,1,-2,F2,2,CH4,C1,A,FIRST,CLEANER,PROTABLETS,1,2,173.128,37.202
2,28,14,-2,2,30,female,1,1,-2,F2,3,CH4,C1,A,SECOND,EDUCATOR,ANTITABLETS,3,2,151.016,21.664
1,29,15,-3,3,31,female,1,1,0,F3,2,CH4,C1,A,FIRST,CLEANER,PROTABLETS,1,3,107.396,31.557
2,30,15,-3,3,31,female,1,1,0,F3,3,CH4,C1,A,SECOND,EDUCATOR,ANTITABLETS,5,3,89.353,27.409
1,31,16,-1,2,45,female,1,1,-1,F4,2,CH4,C1,A,FIRST,CLEANER,PROTABLETS,1,1,104.849,227.729
2,32,16,-1,2,45,female,1,1,-1,F4,2,CH4,C1,A,SECOND,EDUCATOR,ANTITABLETS,3,1,109.019,32.582
1,33,17,-2,2,29,male,1,1,-1,F1,7,CH5,C1,A,FIRST,EDUCATOR,ANTITABLETS,4,2,194.577,46.922
2,34,17,-2,2,29,male,1,1,-1,F1,8,CH5,C1,A,SECOND,CLEANER,PROTABLETS,3,1,153.172,37.455
1,35,18,-1,3,42,female,1,1,0,F2,5,CH5,C1,A,FIRST,EDUCATOR,ANTITABLETS,4,3,220.452,64.562
2,36,18,-1,3,42,female,1,1,0,F2,3,CH5,C1,A,SECOND,CLEANER,PROTABLETS,3,2,154.826,41.104
1,37,19,1,3,28,female,1,1,2,F3,5,CH5,C1,A,FIRST,EDUCATOR,ANTITABLETS,4,1,109.104,15.619
2,38,19,1,3,28,female,1,1,2,F3,1,CH5,C1,A,SECOND,CLEANER,PROTABLETS,2,-2,28.083,16.165
1,39,20,3,3,47,male,1,1,3,F4,2,CH5,C1,A,FIRST,EDUCATOR,ANTITABLETS,3,3,110.591,22.189
2,40,20,3,3,47,male,1,1,3,F4,1,CH5,C1,A,SECOND,CLEANER,PROTABLETS,2,1,120.701,11.1
1,41,21,-3,3,24,female,1,1,-3,F1,5,CH6,C1,A,FIRST,EDUCATOR,ANTITABLETS,4,2,135.475,39.598
2,42,21,-3,3,24,female,1,1,-3,F1,6,CH6,C1,A,SECOND,CLEANER,PROTABLETS,4,-2,113.419,37.735
1,43,22,-3,3,29,female,1,1,-2,F2,3,CH6,C1,A,FIRST,EDUCATOR,ANTITABLETS,4,3,62.315,23.188
2,44,22,-3,3,29,female,1,1,-2,F2,1,CH6,C1,A,SECOND,CLEANER,PROTABLETS,2,-2,46.099,12.802
1,45,23,-2,2,36,female,1,1,-2,F3,4,CH6,C1,A,FIRST,EDUCATOR,ANTITABLETS,3,3,66.398,28.653
2,46,23,-2,2,36,female,1,1,-2,F3,0,CH6,C1,A,SECOND,CLEANER,PROTABLETS,1,-2,83.475,18.851
1,47,24,2,3,26,male,1,1,2,F4,3,CH6,C1,A,FIRST,EDUCATOR,ANTITABLETS,3,2,158.163,52.193
